"SUBJECT","YEAR_ID","MONTH_ID","BALANCE_VALUE","UNIT","DATAOWNER"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2559,1,6792.1,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2559,2,5082,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2559,3,6788.4,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2559,4,5644,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2559,5,8448.1,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2559,6,8572.5,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2559,7,9698.7,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2559,8,10298.2,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2559,9,8480.6,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2559,10,10579.1,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2559,11,12778.7,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2559,12,14393.3,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2560,1,10756.6,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2560,2,9075.3,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2560,3,8345.8,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2560,4,9102.7,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2560,5,11861.6,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2560,6,10861.3,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2560,7,10706.5,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2560,8,13831.1,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2560,9,16151.3,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2560,10,16296.5,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2560,11,16981.7,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2560,12,15625.2,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2561,1,14437.9,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2561,2,10896.5,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2561,3,14286.3,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2561,4,13334.2,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2561,5,13799.6,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2561,6,14348.1,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2561,7,17613.3,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2561,8,20855.1,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2561,9,17821.1,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2561,10,22576.3,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2561,11,17143.6,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2561,12,16570,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2562,1,11545.8,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2562,2,12311.1,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2562,3,11886.1,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2562,4,12036.7,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2562,5,11432.1,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2562,6,10937.6,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2562,7,10903.7,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2562,8,9212.5,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2562,9,11134.9,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2562,10,10494.9,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2562,11,9061.7,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2562,12,12198.9,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2563,1,11623.8,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2563,2,10849.8,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2563,3,8645,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2563,4,5875.2,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2563,5,8426.4,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2563,6,7924.7,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2563,7,7572.7,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2563,8,9238.6,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2563,9,6401,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2563,10,6516.3,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2563,11,6945.3,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2563,12,9922.1,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2564,1,8342.1,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2564,2,11222,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2564,3,10321.1,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2564,4,11068.5,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2564,5,14502.1,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2564,6,14234.2,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2564,7,14937,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2564,8,19846.5,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2564,9,16340.6,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2564,10,21678.3,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2564,11,23121.9,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2564,12,15750.7,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2565,1,13123.9,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2565,2,13819.7,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2565,3,18573.8,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2565,4,17404.2,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2565,5,30795.8,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2565,6,27143.1,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2565,7,20182.7,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2565,8,17762,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2565,9,14399.3,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2565,10,16037.4,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2565,11,13744.3,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2565,12,16826.6,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2566,1,12451.5,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2566,2,12469.3,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2566,3,15111.9,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2566,4,14352.5,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2566,5,13543,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2566,6,13935.7,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2566,7,16831.9,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2566,8,21151.1,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2566,9,22063.7,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2566,10,25219.9,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2566,11,22089.1,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2566,12,22269.8,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2567,1,14534.5,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการส่งออกน้ำมันสำเร็จรูป",2567,2,13958.2,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
